template_name,category,language,body_param_count,button_param_count,journey_stage,segment,priority,target_status
order_confirmed_v2,TRANSACTIONAL,en,1,1,order_confirmed,all,P1,DRAFT
delivery_begun_v2,TRANSACTIONAL,en,1,1,in_transit,all,P1,DRAFT
out_for_delivery_v2,TRANSACTIONAL,en,1,1,out_for_delivery,all,P1,DRAFT
delivered_review_request_v2,MARKETING,en,2,0,delivered,all,P1,DRAFT
delivered_vip_v2,MARKETING,en,2,0,delivered,vip,P1,DRAFT
review_reminder_v2,MARKETING,en,2,0,review,responsive,P1,DRAFT
explore_products_v2,MARKETING,en,2,0,upsell,responsive,P1,DRAFT
upsell_followup_v2,MARKETING,en,2,0,upsell_followup,responsive,P2,DRAFT
price_sensitive_sale_v2,MARKETING,en,2,0,upsell_sale,low,P2,DRAFT
loyalty_checkin_v2,MARKETING,en,2,0,loyalty,responsive,P2,DRAFT
vip_exclusive_v2,MARKETING,en,2,0,rfm,vip,P2,DRAFT
winback_offer_v2,MARKETING,en,2,0,rfm,low,P2,DRAFT
extreme_winback_v2,MARKETING,en,2,0,rfm,dormant,P2,DRAFT
reactivation_survey_v2,MARKETING,en,1,0,rfm,dormant,P2,DRAFT
corporate_pitch_v2,MARKETING,en,2,0,corporate,responsive,P2,DRAFT
promo_monsoon_v2,MARKETING,en,2,0,seasonal,responsive,P3,DRAFT
promo_diwali_v2,MARKETING,en,2,0,seasonal,all,P3,DRAFT
promo_new_harvest_v2,MARKETING,en,2,0,seasonal,responsive,P3,DRAFT
recipe_series_v1,MARKETING,en,2,0,education,responsive,P1,DRAFT
founder_note_v1,MARKETING,en,2,0,trust,responsive,P1,DRAFT
reduced_frequency_v1,MARKETING,en,1,0,fatigue,dormant,P1,DRAFT
seasonal_education_v1,MARKETING,en,2,0,education,low,P2,DRAFT
storage_tips_v1,MARKETING,en,2,0,education,all,P2,DRAFT
harvest_stories_v1,MARKETING,en,2,0,trust,all,P2,DRAFT
support_checkin_v1,MARKETING,en,1,0,support,all,P2,DRAFT
replenishment_reminder_v1,MARKETING,en,2,0,replenishment,responsive,P2,DRAFT
cooking_inspiration_v1,MARKETING,en,2,0,education,responsive,P2,DRAFT
