current_handle,current_title,family_key,target_canonical_handle,target_variant_value,action
aromatic-true-cinnamon-ceylon-100g,Aromatic True Cinnamon (Ceylon) - 100g,ceylon_cinnamon,aromatic-true-cinnamon-ceylon,100g,keep_canonical
aromatic-true-cinnamon-ceylon-200g,Aromatic True Cinnamon (Ceylon) - 200g,ceylon_cinnamon,aromatic-true-cinnamon-ceylon,200g,merge
cardamom-100g-black-pepper-200g-clove-100g-3-in-1-spice-combo-pack,3-in-1 Spice Combo 100g/200g/100g,spice_combo_3in1,kerala-spice-combo-pack,100g+200g+100g,merge
cardamom-50g-black-pepper-100g-clove-100g-3-in-1-spice-combo-pack,3-in-1 Spice Combo 50g/100g/100g,spice_combo_3in1,kerala-spice-combo-pack,50g+100g+100g,keep_canonical
kerala-black-pepper-100gm,Kerala Black Pepper - 100gm,black_pepper,kerala-black-pepper,100g,keep_canonical
kerala-black-pepper-200gm,Kerala Black Pepper - 200gm,black_pepper,kerala-black-pepper,200g,merge
kerala-black-pepper-300gm,Kerala Black Pepper - 300gm,black_pepper,kerala-black-pepper,,archive_redirect
kerala-black-pepper-500gm,Kerala Black Pepper - 500gm,black_pepper,kerala-black-pepper,,archive_redirect
kerala-cardamom-500gm,Kerala Cardamom - 500gm,green_cardamom,kerala-cardamom,,archive_redirect
kerala-cardamom-50gm,Kerala Cardamom - 50gm,green_cardamom,kerala-cardamom,50g,keep_canonical
kerala-cardamom-8mm-200gm,Kerala Cardamom 8mm - 200gm,green_cardamom,kerala-cardamom,200g,merge
kerala-cardamom-8mm-fruit-100gm,Kerala Cardamom 8mm Fruit - 100gm,green_cardamom,kerala-cardamom,100g,merge
kerala-clove-100gm,Kerala Adimali Clove -100gm,clove,kerala-adimali-clove,100g,keep_canonical
kerala-clove-200gm,Kerala Adimali Clove -200gm,clove,kerala-adimali-clove,200g,merge
kerala-white-pepper-100gm,Kerala White Pepper - 100 gm,white_pepper,kerala-white-pepper,100g,keep_canonical
premium-cassia-cinnamon-100g,Premium Cassia Cinnamon - 100g,cassia_cinnamon,premium-cassia-cinnamon,100g,keep_canonical
premium-cassia-cinnamon-200g,Premium Cassia Cinnamon - 200gm,cassia_cinnamon,premium-cassia-cinnamon,200g,merge

