family_key,source_handle,target_handle,action
ceylon_cinnamon,aromatic-true-cinnamon-ceylon-200g,aromatic-true-cinnamon-ceylon,archive_and_redirect
spice_combo_3in1,cardamom-100g-black-pepper-200g-clove-100g-3-in-1-spice-combo-pack,kerala-spice-combo-pack,archive_and_redirect
black_pepper,kerala-black-pepper-200gm,kerala-black-pepper,archive_and_redirect
black_pepper,kerala-black-pepper-300gm,kerala-black-pepper,archive_and_redirect
black_pepper,kerala-black-pepper-500gm,kerala-black-pepper,archive_and_redirect
green_cardamom,kerala-cardamom-500gm,kerala-cardamom,archive_and_redirect
green_cardamom,kerala-cardamom-8mm-200gm,kerala-cardamom,archive_and_redirect
green_cardamom,kerala-cardamom-8mm-fruit-100gm,kerala-cardamom,archive_and_redirect
clove,kerala-clove-200gm,kerala-adimali-clove,archive_and_redirect
cassia_cinnamon,premium-cassia-cinnamon-200g,premium-cassia-cinnamon,archive_and_redirect
